Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (MHz),FP32 GFLOPS_Target
28,64,118,1270,993,762.6
28,122,294,3540,706,2169
14,10,74,1800,937,797.2
65,12,144,314,450,38.4
28,75,160,2080,1050,1613
40,86,166,1040,700,1008
28,50,77,950,730,599
28,85,160,2080,1100,1971
7,15,156,9800,400,1792
28,100,294,3540,771,2369
14,185,232,5700,1100,5530
40,31,57,260,589,44.86
28,23,148,1870,795,881.7
8,300,628,28300,1455,40000
80,75,169,289,675,92.8
65,20,144,314,500,40
40,20,104,716,450,360
55,151,256,956,750,1200
40,238,529,3100,574,1028
40,19,59,292,650,104
14,85,232,5700,926,4399
40,86,166,1040,700,1008
14,40,132,3300,1177,1478
65,135,324,754,650,416
32,35,246,1303,554,425.5
28,75,398,5200,1050,2150
55,800,470,1400,610,622.1
28,150,561,7080,667,3553
28,45,118,1270,810,622.1
14,80,123,3000,1090,2150
80,40,127,210,500,48
28,15,87,1020,719,276.1
90,171,484,681,600,368.6
55,105,192,666,800,512
12,260,754,18600,1065,12860
14,75,132,3300,1354,1911
8,80,392,17400,780,15300
12,50,200,4700,930,2304
40,23,116,585,600,230.4
32,100,246,1303,760,583.7
40,29,79,292,810,155.5
55,75,192,666,668,427.5
55,56,146,514,700,448
28,122,294,3540,719,2209
7,400,826,54200,900,13890
12,90,445,10800,885,5460
55,20,73,242,600,96
40,44,118,716,650,624
28,50,77,950,730,499.2
40,228,334,2154,850,2720
28,274,352,4313,850,3482
65,12,144,314,450,17.6
65,65,324,754,550,308
14,50,103,2200,1019,1371
45,300,684,2300,1200,614.4
55,30,67,181,796,63.68
14,50,103,2200,1124,1248
65,45,144,314,625,99.2
80,240,420,720,743,475.5
7,125,158,6400,1187,5398
14,100,232,5700,1000,4963
40,19,59,292,650,104
40,23,100,486,500,105.6
55,35,73,242,500,80
12,250,815,21100,1200,14900
65,141,324,754,738,470
65,25,85,180,650,52
12,175,445,10800,1410,7465
28,250,561,7080,863,4156
28,150,212,2800,850,2176
28,33,87,1020,850,722.7
28,33,116,585,775,180.1
28,15,116,585,738,141.7
40,150,332,1950,736,847.9
40,100,212,1700,715,1602
40,31,57,260,520,39.36
14,50,103,2200,1100,1211
28,100,212,2800,850,2304
32,35,246,1303,450,230.4
28,175,596,8900,1000,8192
65,105,324,754,500,160
14,75,123,3000,1090,2458
28,19,87,1020,797,306
7,300,520,26800,1825,20740
40,25,67,370,750,256
40,30,79,292,810,155.5
28,26,77,950,630,435.2
7,230,335,17200,2321,13210
80,20,169,289,475,60.8
28,375,352,4313,825,3405
40,15,79,292,738,141.7
16,100,314,7200,1227,7589
40,69,104,627,775,620
65,236,576,1400,602,622.1
55,32,67,181,400,32
8,115,392,17400,1110,18980
40,28,57,260,550,44
55,151,256,956,750,1200
8,350,628,28300,1395,35580
28,275,438,6200,930,5238
40,225,529,3100,574,1028
40,225,520,3000,651,1332
28,33,116,585,775,297.6
55,204,470,1400,648,708.5
40,38,144,727,550,275.7
14,230,495,12500,1200,12290
40,12,79,292,740,142.1
28,65,77,950,1000,806.4
40,20,104,716,725,696
65,78,324,754,500,280
28,65,118,1270,902,692.7
55,171,470,1400,576,536.5
40,302,334,2154,725,2088
55,15,73,242,550,88
55,110,256,956,750,960
